epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,294.118,0.97931,1.2207,1.27129,0.64355,0.62648,0.63181,0.46507,1.07839,1.1914,1.31342,0.000415886,0.000415886,0.000415886
2,487.147,1.03088,1.21942,1.29337,0.68858,0.64668,0.66116,0.46955,1.1013,1.1464,1.3139,0.000791342,0.000791342,0.000791342
3,657.605,1.05568,1.25886,1.30731,0.64148,0.58583,0.59376,0.41038,1.18616,1.29541,1.40249,0.00112555,0.00112555,0.00112555
4,823.807,1.07238,1.2671,1.32149,0.66423,0.62335,0.62856,0.44178,1.1574,1.2304,1.35003,0.00106437,0.00106437,0.00106437
5,988.591,1.05278,1.22954,1.3046,0.69884,0.64101,0.65758,0.46087,1.11807,1.15408,1.33302,0.0010025,0.0010025,0.0010025
6,1154.58,1.03287,1.21291,1.29404,0.71668,0.62529,0.66248,0.4624,1.14827,1.16104,1.33993,0.000940625,0.000940625,0.000940625
7,1319.89,1.02884,1.19081,1.28993,0.69194,0.62443,0.63811,0.44105,1.15211,1.19261,1.36176,0.00087875,0.00087875,0.00087875
8,1511.92,1.00937,1.17321,1.27618,0.71435,0.6487,0.68,0.48391,1.08415,1.10743,1.29853,0.000816875,0.000816875,0.000816875
9,1688.26,1.00285,1.1415,1.27135,0.7351,0.65033,0.69107,0.48934,1.08996,1.0868,1.30401,0.000755,0.000755,0.000755
10,1853.2,0.99364,1.1099,1.27132,0.76179,0.66165,0.70541,0.49876,1.08285,1.0501,1.29566,0.000693125,0.000693125,0.000693125
11,2045.86,0.92457,0.95814,1.23365,0.75022,0.66249,0.70054,0.49761,1.0738,1.05556,1.29786,0.00063125,0.00063125,0.00063125
12,2219.88,0.90183,0.91747,1.21759,0.75887,0.6775,0.71072,0.50245,1.06194,1.05688,1.28558,0.000569375,0.000569375,0.000569375
13,2380.78,0.88658,0.87688,1.20997,0.73643,0.66987,0.70531,0.5185,1.0238,1.03166,1.24589,0.0005075,0.0005075,0.0005075
14,2543.01,0.85628,0.8477,1.18566,0.74523,0.69785,0.72095,0.52306,1.02666,0.99877,1.25143,0.000445625,0.000445625,0.000445625
15,2703.68,0.84048,0.81178,1.17011,0.79089,0.69051,0.73121,0.53005,1.01352,0.97181,1.24138,0.00038375,0.00038375,0.00038375
16,2863.87,0.83197,0.78779,1.16469,0.78503,0.68165,0.73126,0.53104,1.00893,0.97725,1.23602,0.000321875,0.000321875,0.000321875
17,3024.82,0.81467,0.75857,1.14868,0.79196,0.68481,0.73248,0.53425,1.00589,0.96377,1.23545,0.00026,0.00026,0.00026
18,3183.52,0.79306,0.74304,1.13908,0.79786,0.69438,0.74491,0.54421,0.992,0.93541,1.2225,0.000198125,0.000198125,0.000198125
19,3342.68,0.77963,0.71926,1.12264,0.81679,0.68438,0.74633,0.5485,0.98907,0.93642,1.22005,0.00013625,0.00013625,0.00013625
20,3502.72,0.75616,0.69236,1.10825,0.82259,0.69096,0.74997,0.5533,0.97505,0.9199,1.21409,7.4375e-05,7.4375e-05,7.4375e-05
